attention_chunk3_output,attention_chunk3_x,chunk_0_output,chunk_0_x,chunk_1_output,chunk_1_x,chunk_2_output,chunk_2_x,chunk_3_output,chunk_3_x,source_file
0.9654947916666666,0.9996744791666666,0.998046875,1.0,0.9860026041666666,0.9996744791666666,0.978515625,0.9983723958333334,0.9654947916666666,0.9996744791666666,cap10_1
0.9798177083333334,0.9986979166666666,0.9928385416666666,1.0,0.9850260416666666,1.0,0.9723307291666666,0.9986979166666666,0.9798177083333334,0.9986979166666666,cap10_1
0.9742838541666666,0.9996744791666666,0.9889322916666666,1.0,0.978515625,1.0,0.9817708333333334,1.0,0.9742838541666666,0.9996744791666666,cap10_1
0.9654947916666666,1.0,0.990234375,1.0,0.9850260416666666,1.0,0.9765625,1.0,0.9654947916666666,1.0,cap10_1
0.9775390625,0.9964192708333334,0.9847005208333334,1.0,0.9811197916666666,1.0,0.9641927083333334,0.99609375,0.9775390625,0.9964192708333334,cap10_1
0.9658203125,0.9973958333333334,0.9856770833333334,0.9977213541666666,0.9778645833333334,1.0,0.9710286458333334,0.9957682291666666,0.9658203125,0.9973958333333334,cap10_1
0.9635416666666666,0.9996744791666666,0.984375,0.998046875,0.978515625,0.9990234375,0.9733072916666666,0.9986979166666666,0.9635416666666666,0.9996744791666666,cap10_1
0.9788411458333334,0.9996744791666666,0.974609375,0.9970703125,0.9811197916666666,1.0,0.9723307291666666,0.9983723958333334,0.9788411458333334,0.9996744791666666,cap10_1
0.9635416666666666,0.9934895833333334,0.9951171875,1.0,0.986328125,1.0,0.9755859375,1.0,0.9635416666666666,0.9934895833333334,cap10_1
0.9723307291666666,0.99609375,0.9931640625,0.9990234375,0.9889322916666666,0.9986979166666666,0.9765625,0.998046875,0.9723307291666666,0.99609375,cap10_1
0.9694010416666666,0.9967447916666666,0.9811197916666666,0.9996744791666666,0.9781901041666666,0.998046875,0.9794921875,0.9993489583333334,0.9694010416666666,0.9967447916666666,cap10_1
0.9690755208333334,1.0,0.9856770833333334,0.9983723958333334,0.9781901041666666,0.9967447916666666,0.9661458333333334,0.9957682291666666,0.9690755208333334,1.0,cap10_1
0.9876302083333334,0.998046875,0.9772135416666666,1.0,0.9700520833333334,0.9947916666666666,0.9573567708333334,0.9973958333333334,0.9876302083333334,0.998046875,cap10_1
0.9720052083333334,0.9990234375,0.9850260416666666,0.998046875,0.9788411458333334,1.0,0.9791666666666666,1.0,0.9720052083333334,0.9990234375,cap10_1
0.98046875,0.9993489583333334,0.9742838541666666,0.9973958333333334,0.9807942708333334,0.9977213541666666,0.9658203125,0.9973958333333334,0.98046875,0.9993489583333334,cap10_1
0.9694010416666666,0.9951171875,0.9710286458333334,0.9983723958333334,0.9794921875,0.9964192708333334,0.9791666666666666,0.998046875,0.9694010416666666,0.9951171875,cap10_1
0.9567057291666666,1.0,0.9925130208333334,1.0,0.9915364583333334,1.0,0.9498697916666666,1.0,0.9567057291666666,1.0,cap10_1
0.9547526041666666,0.990234375,0.9990234375,1.0,0.9905598958333334,0.9993489583333334,0.9638671875,0.99609375,0.9547526041666666,0.990234375,cap10_1
0.9716796875,0.9986979166666666,0.9908854166666666,1.0,0.9840494791666666,1.0,0.9742838541666666,0.9970703125,0.9716796875,0.9986979166666666,cap10_1
0.9602864583333334,0.9990234375,0.9899088541666666,0.9983723958333334,0.9869791666666666,1.0,0.9638671875,0.9973958333333334,0.9602864583333334,0.9990234375,cap10_1
0.9638671875,0.9954427083333334,0.9899088541666666,1.0,0.9879557291666666,1.0,0.974609375,0.9993489583333334,0.9638671875,0.9954427083333334,cap10_1
0.9541015625,1.0,0.9833984375,1.0,0.9840494791666666,1.0,0.9645182291666666,0.99609375,0.9541015625,1.0,cap10_1
0.9680989583333334,0.9983723958333334,0.9755859375,0.9977213541666666,0.9847005208333334,1.0,0.9635416666666666,0.9964192708333334,0.9680989583333334,0.9983723958333334,cap10_1
0.9654947916666666,1.0,0.9778645833333334,0.9973958333333334,0.982421875,0.9996744791666666,0.9645182291666666,0.9977213541666666,0.9654947916666666,1.0,cap10_1
0.9495442708333334,0.998046875,0.9905598958333334,0.9970703125,0.9895833333333334,0.9990234375,0.9710286458333334,0.9970703125,0.9495442708333334,0.998046875,cap10_1
0.978515625,1.0,0.98046875,0.9990234375,0.9778645833333334,0.9977213541666666,0.9661458333333334,1.0,0.978515625,1.0,cap10_1
0.9674479166666666,0.9957682291666666,0.9742838541666666,0.9993489583333334,0.9710286458333334,0.998046875,0.9710286458333334,1.0,0.9674479166666666,0.9957682291666666,cap10_1
0.9733072916666666,0.998046875,0.9811197916666666,0.9983723958333334,0.9775390625,0.9993489583333334,0.9733072916666666,0.9970703125,0.9733072916666666,0.998046875,cap10_1
0.9710286458333334,0.9990234375,0.9755859375,0.9986979166666666,0.9710286458333334,0.9977213541666666,0.9807942708333334,0.9990234375,0.9710286458333334,0.9990234375,cap10_1
0.9752604166666666,0.9990234375,0.9733072916666666,0.9986979166666666,0.9768880208333334,0.9977213541666666,0.9710286458333334,0.9957682291666666,0.9752604166666666,0.9990234375,cap10_1
0.9680989583333334,0.9986979166666666,0.9765625,1.0,0.9791666666666666,0.9983723958333334,0.9801432291666666,1.0,0.9680989583333334,0.9986979166666666,cap10_1
0.9674479166666666,0.9993489583333334,0.9781901041666666,0.9990234375,0.9697265625,0.9986979166666666,0.9736328125,0.9993489583333334,0.9674479166666666,0.9993489583333334,cap10_1
